31-05-2026 - Q4 Salary Data - STRICTLY CONFIDENTIAL

Employee ID | Name              | Department    | Salary (INR/Month) | Bonus
-----------|-------------------|---------------|-------------------|-------
EMP001     | Rajesh Kumar      | Engineering   | 85,000            | 15%
EMP002     | Priya Sharma      | Product       | 92,000            | 18%
EMP003     | Amit Verma        | Sales         | 62,000            | 22%
EMP004     | Neha Singh        | HR            | 58,000            | 10%
EMP005     | Vikram Patel      | Engineering   | 1,10,000          | 20%
EMP006     | Anjali Mehta      | Finance       | 78,000            | 12%
EMP007     | Suresh Reddy      | DevOps        | 95,000            | 15%
EMP008     | Kavya Nair        | Design        | 70,000            | 14%
EMP009     | Rahul Gupta       | Engineering   | 88,000            | 16%
EMP010     | Deepika Joshi     | Marketing     | 65,000            | 13%
EMP011     | Arun Krishnan     | CTO           | 2,50,000          | 25%
EMP012     | Meera Pillai      | CEO           | 3,20,000          | 30%

Total Monthly Payroll: 14,73,000 INR
Annual Cost (CTC): 2,18,45,640 INR

PREPARED BY: HR Department
AUTHORIZED BY: CFO
